ticker,date,open,high,low,close
SNDK,2025-09-24,103.555,107.72,96.6313,99.83
SNDK,2025-09-25,96.265,100.45,93.535,94.29
SNDK,2025-09-26,96.0,99.6462,94.39,97.12
SNDK,2025-09-29,104.25,114.0,103.348,113.5
SNDK,2025-09-30,114.1,120.74,112.11,112.2
SNDK,2025-10-01,113.06,123.85,112.0,121.12
SNDK,2025-10-02,128.69,132.29,123.265,124.14
SNDK,2025-10-03,128.29,137.05,126.7,128.41
SNDK,2025-10-06,133.6,134.79,119.29,121.17
SNDK,2025-10-07,125.2,125.2,115.68,120.95
SNDK,2025-10-08,121.5,132.28,120.2,131.88
SNDK,2025-10-09,127.0,131.605,126.12,129.68
SNDK,2025-10-10,131.46,132.0,116.17,116.91
SNDK,2025-10-13,129.74,135.91,124.0475,134.61
SNDK,2025-10-14,123.59,130.46,120.96,127.29
SNDK,2025-10-15,134.75,144.55,130.5001,144.36
SNDK,2025-10-16,146.0,149.09,141.7,144.27
SNDK,2025-10-17,139.22,150.82,136.29,140.16
SNDK,2025-10-20,145.98,152.63,145.5,148.04
SNDK,2025-10-21,145.8,150.16,142.76,149.29
SNDK,2025-10-22,149.1,157.4,144.82,146.923
SNDK,2025-10-23,146.995,167.95,146.0,167.05
SNDK,2025-10-24,174.4,187.36,173.5,186.16
SNDK,2025-10-27,191.5,191.85,173.72,176.49
SNDK,2025-10-28,175.49,178.82,164.56,175.53
SNDK,2025-10-29,186.67,205.64,181.51,204.367
SNDK,2025-10-30,192.02,204.9199,191.09,195.82
SNDK,2025-10-31,203.5,209.77,189.58,199.45
SNDK,2025-11-03,210.85,213.4,189.1,207.04
SNDK,2025-11-04,188.135,202.98,185.0,194.57
SNDK,2025-11-05,201.88,218.94,201.87,216.5
SNDK,2025-11-06,212.0,226.5,205.1801,207.69
SNDK,2025-11-07,208.42,240.0,203.4,239.48
SNDK,2025-11-10,247.0,270.91,247.0,268.03
SNDK,2025-11-11,262.29,275.8699,255.87,271.39
SNDK,2025-11-12,271.58,284.7599,267.05,283.13
SNDK,2025-11-13,268.0,271.84,234.13,243.53
SNDK,2025-11-14,236.0,270.4893,235.05,254.265
SNDK,2025-11-17,253.4,282.7999,253.0,265.68
SNDK,2025-11-18,257.04,260.6315,229.11,244.73
SNDK,2025-11-19,251.11,256.98,233.785,245.85
SNDK,2025-11-20,252.17,254.6,192.62,195.96
SNDK,2025-11-21,205.37,205.5,183.0,200.23
SNDK,2025-11-24,206.05,228.18,205.13,226.96
SNDK,2025-11-25,228.4,229.0688,209.0001,220.5
SNDK,2025-11-26,226.0,227.9999,205.4,215.04
SNDK,2025-11-28,225.25,237.77,211.73,223.28
SNDK,2025-12-01,211.84,215.3,205.24,210.17
SNDK,2025-12-02,211.75,217.0,192.8,205.35
SNDK,2025-12-03,196.695,199.18,187.7,194.31
SNDK,2025-12-04,192.325,214.99,189.68,213.31
SNDK,2025-12-05,212.4,229.45,211.25,228.47
SNDK,2025-12-08,235.66,238.79,215.71,225.45
SNDK,2025-12-09,222.25,224.3302,213.5,219.46
SNDK,2025-12-10,218.0,234.17,215.2,232.86
SNDK,2025-12-11,230.0,244.19,217.67,241.61
SNDK,2025-12-12,232.11,236.0,204.8,206.18
SNDK,2025-12-15,214.445,217.0,200.3418,201.87
SNDK,2025-12-16,201.13,210.5,199.5,209.3
SNDK,2025-12-17,215.99,221.99,205.52,206.83
SNDK,2025-12-18,222.735,230.98,214.0,219.46
SNDK,2025-12-19,222.29,243.71,221.0,237.6
SNDK,2025-12-22,249.645,252.0,226.6,241.05
SNDK,2025-12-23,238.42,245.5,234.0001,244.9
SNDK,2025-12-24,244.9,261.37,244.5,250.08
SNDK,2025-12-26,259.595,261.5,245.1,250.05
SNDK,2025-12-29,241.555,250.0,236.01,244.25
SNDK,2025-12-30,245.87,247.48,236.52,240.22
SNDK,2025-12-31,241.415,241.8999,235.24,237.38
SNDK,2026-01-02,244.35,275.7999,244.0,275.24
SNDK,2026-01-05,284.22,285.0,266.33,274.08
SNDK,2026-01-06,288.745,352.0,288.5,349.59
SNDK,2026-01-07,340.88,354.59,331.23,353.87
SNDK,2026-01-08,360.73,360.975,310.78,334.54
SNDK,2026-01-09,341.6,384.0,334.5401,377.41
SNDK,2026-01-12,373.97,395.16,373.97,389.27
